,tr_main_law,tr_draft,tr_category
36,"On the ratification of the Memorandum of Obligations of the Republic of Belarus in order to obtain the status of a member State of the Shanghai Cooperation Organization, signed on July 4, 2023 in New Delhi",About the draft Law,Empty
37,"On the ratification of the Memorandum of Obligations of the Republic of Belarus in order to obtain the status of a member State of the Shanghai Cooperation Organization, signed on July 4, 2023 in New Delhi",About the draft Law,Empty
38,"Functional Improvement of the Republican Clinical Infectious Diseases Hospital"", signed on July 14, 2023 in Bishkek, and the Loan Agreement Functional Improvement of the Republican Clinical Infectious Diseases Hospital"" between the Cabinet of Ministers of the Kyrgyz Republic and the Export-Import Bank of Korea (a government agency on behalf of EDCF), signed on August 21, 2023 in Bishkek""",About the draft Law,On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Korea regarding a Loan from the Economic Development Cooperation Fund for the project
39,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
40,"On amendments to the Law of the Kyrgyz Republic On the Status of the Batken region""returned with the objection of the President of the Kyrgyz Republic""",On the draft resolution of the Jogorku Kenesh,On the formation of a conciliation group to develop an agreed version of the Law of the Kyrgyz Republic
41,On the republican budget of the Kyrgyz Republic for 2023 and the planning period 2024-2025,On amendments to the Law of the Kyrgyz Republic,Empty
42,On the republican budget of the Kyrgyz Republic for 2023 and the planning period 2024-2025,On amendments to the Law of the Kyrgyz Republic,Empty
43,On the republican budget of the Kyrgyz Republic for 2024 and the planning period 2025-2026,3. About the draft Law,Empty
44,On the republican budget of the Kyrgyz Republic for 2024 and the planning period 2025-2026,4. About the draft Law,Empty
45,On the restoration and protection of savings of citizens of the Kyrgyz Republic,On the invalidation of the Law of the Kyrgyz Republic,About the draft Law
46,On amendments to some legislative acts of the Kyrgyz Republic in the field of pawnbroking,About the draft Law,Empty
47,On approval of the List of authorized bodies authorized to conduct inspections of business entities,7. On the draft resolution of the Jogorku Kenesh,Empty
48,"On Order No. 161-r of the Cabinet of Ministers of the Kyrgyz Republic dated April 5, 2023",On the draft resolution of the Jogorku Kenesh,Empty
49,On amendments to the Tax Code of the Kyrgyz Republic,About the draft Law,Empty
50,On amendments to the Code of the Kyrgyz Republic on Offenses,About the draft Law,Empty
51,On amendments to the Code of the Kyrgyz Republic on Offenses,About the draft Law,Empty
52,About fire safety,On amendments to the Law of the Kyrgyz Republic,About the draft Law
53,"Improving resilience to natural disaster risks in Kyrgyzstan, signed on August 18, 2023 in Bishkek",On the ratification of the Agreement between the Kyrgyz Republic and the International Development Association on the second additional financing of the project,About the draft Law
54,On State guarantees for ethnic Kyrgyz moving to the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
55,On amendments to the Criminal Code of the Kyrgyz Republic,About the draft Law,Empty
56,"On amendments to some legislative acts of the Kyrgyz Republic (the Criminal Code, the Code of Criminal Procedure)",About the draft Law,Empty
57,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
58,On amendments to the Forest Code of the Kyrgyz Republic,About the draft Law,Empty
59,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Federal Republic of Germany on Financial Cooperation, signed on June 1, 2023 in Bishkek",About the draft Law,Empty
60,"On accession (acceptance) of the Kyrgyz Republic to the Convention on the International Maritime Organization, adopted in Geneva on March 6, 1948",About the draft Law,Empty
61,"On the ratification of the Financing Agreement between the Kyrgyz Republic and the International Development Association (Additional Financing of the Heat Supply Improvement Project), signed on September 8, 2023 in Bishkek",About the draft Law,Empty
62,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the State of Qatar on Military Cooperation, signed on June 7, 2023 in Bishkek",About the draft Law,Empty
63,"On the ratification of Convention No. 190 of the International Labour Organization on the Elimination of Violence and Harassment at Work, adopted on June 21, 2019 in Geneva",About the draft Law,Empty
64,"The Program for improving the sustainability of the water sector of the Kyrgyz Republic – subprojects of the cities of Kadamzhai, Tash-Kumyr, Kok-Zhangak and Aydarken"", signed on May 16, 2023 in the city of Samarkand, and the Grant Agreement between the Kyrgyz Republic and the European Bank for Reconstruction and Development regarding an investment grant from a Special Fund of Shareholders provided under the project Program for Improving the Sustainability of the water sector Kyrgyz Republic – subprojects of the cities of Kadamzhai, Tash-Kumyr, Kok-Zhangak and Aydarken"", signed on May 16, 2023 in the city of Samarkand""",About the draft Law,On ratification of the Loan Agreement between the Kyrgyz Republic and the European Bank for Reconstruction and Development on the project
65,About state benefits in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
66,On the budget execution report of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2022,Empty,Empty
67,On the budget of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2023 and the planning period 2024-2025,On amendments to the Law of the Kyrgyz Republic,About the draft Law
68,On the budget of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2024 and the planning period 2025-2026,About the draft Law,Empty
69,"On amendments to some legislative acts of the Kyrgyz Republic (the Criminal Code, the Code of Criminal Procedure)",About the draft Law,Empty
70,"On amendments to some legislative acts of the Kyrgyz Republic (the Code of Non-tax Revenues, the Code of Offenses)",About the draft Law,Empty
71,On investing funds to finance the funded part of the state social insurance pension in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
72,On countering the financing of terrorist activities and the legalization (laundering) of criminal proceeds,On amendments to the Law of the Kyrgyz Republic,About the draft Law
73,On amendments to the Code of the Kyrgyz Republic on Non-tax income,About the draft Law,Empty
74,"On the ratification of the Agreement on the Establishment of the Turkic Investment Fund, signed on March 16, 2023 in Ankara",About the draft Law,Empty
75,"Improving resilience to natural disaster risks in Kyrgyzstan, signed on August 18, 2023 in Bishkek",On the ratification of the Agreement between the Kyrgyz Republic and the International Development Association on the second additional financing of the project,About the draft Law
76,On the accession of the Kyrgyz Republic to the Convention on the Transfer of Convicted Persons,About the draft Law,Empty
77,On the general principles of pardon,On amending the Criminal Code of the Kyrgyz Republic and invalidating the Law of the Kyrgyz Republic,About the draft Law
78,On the status of bailiffs and on enforcement proceedings),"On amendments to some legislative acts of the Kyrgyz Republic (the Civil Code, the Law",About the draft Law
79,On State-guaranteed legal assistance),"On amendments to some legislative acts of the Kyrgyz Republic (the Code of Offenses, the Law",About the draft Law
80,About the jamaats (communities) and their associations,On amendments to the Law of the Kyrgyz Republic,About the draft Law
81,About the courts of aksakals,About the draft Law,Empty
82,"On State pension social insurance"", On state benefits in the Kyrgyz Republic"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
83,"On the protection of the health of citizens of the Kyrgyz Republic from the effects of tobacco consumption, nicotine and exposure to ambient tobacco smoke and aerosol and in the Code of Offenses)",On amendments to some legislative acts of the Kyrgyz Republic (the Law,About the draft Law
84,On amendments to the Civil Code of the Kyrgyz Republic,About the draft Law,Empty
85,"On ratification of the Agreement on Mutual Recognition of Bank Guarantees in the Implementation of State (Municipal) Purchases within the framework of the Eurasian Economic Union, signed on August 29, 2023 in Moscow",About the draft Law,Empty
86,"On the ratification of the Agreement on the Rules for the Issuance (Issuance), Circulation and Repayment of Warehouse Certificates for Agricultural Products within the framework of the Eurasian Economic Union, signed on July 31, 2023 in Moscow",About the draft Law,Empty
87,On amendments to some resolutions of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
88,On the report on the budget execution of the Social Fund of the Kyrgyz Republic under the Cabinet of Ministers of the Kyrgyz Republic for 2022,Empty,Empty
89,On the budget of the Social Fund of the Kyrgyz Republic for 2023 and the planning period 2024-2025,On amendments to the Law of the Kyrgyz Republic,About the draft Law
90,On the budget of the Social Fund of the Kyrgyz Republic for 2024 and the planning period 2025-2026,About the draft Law,Empty
91,About tourism,On amendments to the Law of the Kyrgyz Republic,About the draft Law
92,About the commodity exchange and exchange trading in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
93,About the state symbols of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
94,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on cooperation in the field of emergency prevention and Response, signed on January 27, 2023 in Bishkek",About the draft Law,Empty
95,About the licensing and licensing system in the Kyrgyz Republic),On amendments to the Law of the Kyrgyz Republic,About the draft Law
96,"On the ratification of the Financing Agreement between the Kyrgyz Republic and the International Development Association (Additional Financing of the Heat Supply Improvement Project), signed on September 8, 2023 in Bishkek",About the draft Law,Empty
97,About the local state administration and local self-government bodies,On amendments to the Law of the Kyrgyz Republic,About the draft Law
98,About the Cabinet of Ministers of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
99,"On Public councils of state bodies"" and amendments to the Law of the Kyrgyz Republic On the Regulations of the Jogorku Kenesh of the Kyrgyz Republic""",About the draft Law,On the invalidation of the Law of the Kyrgyz Republic
100,"On the classification of some settlements of Batken, Osh, Chui and Issyk-Kul regions and the city of Osh of the Kyrgyz Republic as ayila (villages)",About the draft Law,Empty
101,On the status of bailiffs and on enforcement proceedings,On amendments to the Law of the Kyrgyz Republic,About the draft Law
102,"On the renaming of individual aiyl aimags and villages of Batken, Jalal-Abad and Issyk-Kul regions of the Kyrgyz Republic",About the draft Law,Empty
103,About the Cabinet of Ministers of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
104,About the Cabinet of Ministers of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
105,On amendments to the Civil Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
106,About internal migration,On amendments to the Law of the Kyrgyz Republic,About the project  The Law
107,About fire safety,On amendments to the Law of the Kyrgyz Republic,About the draft Law
108,On State guarantees for ethnic Kyrgyz moving to the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
109,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Global Green Growth Institute on the Legal Status, Privileges and Immunities of the Global Green Growth Institute (GGGI), signed on April 27, 2023 in Bishkek",About the draft Law,Empty
110,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Federal Republic of Germany on Financial Cooperation, signed on June 1, 2023 in Bishkek",About the draft Law,Empty
111,"On accession (acceptance) of the Kyrgyz Republic to the Convention on the International Maritime Organization, adopted in Geneva on March 6, 1948",About the draft Law,Empty
112,"On the ratification of the Grant Agreement (Special Operations) (Sector Development Program: School Education Reform) between the Kyrgyz Republic and the Asian Development Bank, Grant Agreement (Special Operations) (Sector Development Project: School Education Reform) between the Kyrgyz Republic and the Asian Development Bank, Loan Agreement (Ordinary Operations [preferential]) (Development Project sectors: School Education Reform) between the Kyrgyz Republic and the Asian Development Bank, signed on July 21, 2023 in Bishkek",About the draft Law,Empty
113,About the road fund,On amendments to the Law of the Kyrgyz Republic,About the draft Law
114,On approval of the lists of authorized state bodies authorized to conduct inspections of the activities of local governments,On the draft resolution of the Jogorku Kenesh,Empty
115,"On approval of the composition of the committees of the Jogorku Kenesh of the Kyrgyz Republic No. 18-VII dated January 13, 2022",On amendments to the resolution of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh
116,"On approval of the composition of the committees of the Jogorku Kenesh of the Kyrgyz Republic No. 18-VII dated January 13, 2022",On amendments to the resolution of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh
117,"On approval of the composition of the committees of the Jogorku Kenesh of the Kyrgyz Republic No. 18-VII dated January 13, 2022",On amendments to the resolution of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh
118,On approval of the amount of monetary remuneration of the award of the Interparliamentary Assembly of the Commonwealth of Independent States named after Chingiz Aitmatov for 2024,On the draft resolution of the Jogorku Kenesh,Empty
119,On the report on the execution of the republican budget of the Kyrgyz Republic for 2022,Empty,Empty
120,On the republican budget of the Kyrgyz Republic for 2023 and the planning period 2024-2025,On amendments to the Law of the Kyrgyz Republic,Empty
121,On the republican budget of the Kyrgyz Republic for 2024 and the planning period 2025-2026,. About the draft Law,Empty
122,On amnesty in connection with the 30th anniversary of the adoption of the Constitution of the Kyrgyz Republic and the 75th anniversary of the Universal Declaration of Human Rights,About the draft Law,Empty
123,About the Prosecutor's Office of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
124,About the Prosecutor's Office of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
125,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
126,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
127,On the accession of the Kyrgyz Republic to the Convention on the Transfer of Convicted Persons,About the draft Law,Empty
128,On the protection of the health of citizens in the Kyrgyz Republic,About the draft Law,Empty
129,About public health,About the draft Law,Empty
130,About the circulation of medical devices,About the draft Law,Empty
131,About the circulation of medicines,About the draft Law,Empty
132,"Reconstruction of the Suusamyr–Talas–Taraz highway, phase IV, 104.6–197.6 km, signed on April 24, 2023 in Bishkek",On the ratification of the Loan Agreement between the Kyrgyz Republic and the Saudi Development Fund for the project,About the draft Law
133,"Reconstruction of the Suusamyr–Talas–Taraz highway, phase IV, 104.6–197.6 km, signed on May 12, 2023 in the city of Jeddah",On the ratification of the Loan Agreement between the Kyrgyz Republic and the OPEC Fund for International Development on the project,About the draft Law
134,"Reconstruction of the Suusamyr–Talas–Taraz highway, Phase IV, 104.6–197.6 km"" and the Agreement on Technical grant assistance between the Kyrgyz Republic and the Islamic Development Bank on the Reconstruction of the Suusamyr– Talas–Taraz highway, Phase IV, 104.6–197.6 km"", signed on May 12, 2023 in the city of Jeddah""",About the draft Law,On the ratification of the Loan Agreement between the Kyrgyz Republic and the Islamic Development Bank on the project
135,"On the ratification of the Agreement on the Establishment of the Turkic Investment Fund, signed on March 16, 2023 in Ankara",About the draft Law,Empty
136,On amendments to some legislative acts of the Kyrgyz Republic on citizenship issues,About the draft Law,Empty
137,"On the elections of the President of the Kyrgyz Republic and deputies of the Jogorku Kenesh of the Kyrgyz Republic"", On the Prosecutor's Office of the Kyrgyz Republic"", On the status of judges of the Kyrgyz Republic"")",About the draft Law,On amendments to some constitutional laws of the Kyrgyz Republic (constitutional laws
138,On amendments to the Code of the Kyrgyz Republic on Offenses,About the draft Law,Empty
139,On amendments to the Code of the Kyrgyz Republic on Offenses,About the draft Law,Empty
140,About road transport,On amendments to the Law of the Kyrgyz Republic,About the draft Law
141,"On amendments to some legislative acts of the Kyrgyz Republic (the Criminal Code, the Code of Offenses)",About the draft Law,Empty
142,"On ratification of the Protocol on Amendments to the Treaty on the Eurasian Economic Union dated May 29, 2014 regarding the provision of financial assistance in the implementation by the member States of the Eurasian Economic Union of joint cooperation projects in industries, signed on May 25, 2023 in Moscow",About the draft Law,Empty
143,"On ratification of the Protocol on Amendments to the Treaty on the Eurasian Economic Union dated May 29, 2014 regarding the provision of financial assistance in the implementation by the member States of the Eurasian Economic Union of joint cooperation projects in industries, signed on May 25, 2023 in Moscow",About the draft Law,Empty
144,22.,Empty,Empty
145,"On ratification of the Protocol on Amendments to the Treaty on the Eurasian Economic Union dated May 29, 2014 regarding the provision of financial assistance in the implementation by the member States of the Eurasian Economic Union of joint cooperation projects in industries, signed on May 25, 2023 in Moscow",About the draft Law,Empty
146,"Memorandum of Understanding between the Government of the Kyrgyz Republic and the Organization for Security and Co-operation in Europe on the implementation of the Program on Small Arms and Light Ammunition Stocks, signed on August 2, 2013 in Bishkek, signed on October 18, 2022 in Bishkek",On ratification of the Protocol between the Cabinet of Ministers of the Kyrgyz Republic and the Organization for Security and Co-operation in Europe on amendments and additions to,About the draft Law
147,"Memorandum of Understanding between the Government of the Kyrgyz Republic and the Organization for Security and Co-operation in Europe on the implementation of the Program on Small Arms and Light Ammunition Stocks, signed on August 2, 2013 in Bishkek, signed on October 18, 2022 in Bishkek",On ratification of the Protocol between the Cabinet of Ministers of the Kyrgyz Republic and the Organization for Security and Co-operation in Europe on amendments and additions to,About the draft Law
148,"Memorandum of Understanding between the Government of the Kyrgyz Republic and the Organization for Security and Co-operation in Europe on the implementation of the Program on Small Arms and Light Ammunition Stocks, signed on August 2, 2013 in Bishkek, signed on October 18, 2022 in Bishkek",On ratification of the Protocol between the Cabinet of Ministers of the Kyrgyz Republic and the Organization for Security and Co-operation in Europe on amendments and additions to,About the draft Law
149,26.,Empty,Empty
150,"On ratification of the Protocol on Amendments to the Agreement on Peacekeeping Activities of the Collective Security Treaty Organization dated October 6, 2007, signed on September 16, 2021 in Dushanbe",About the draft Law,Empty
151,27.,Empty,Empty
152,"On ratification of the Protocol on Amendments to the Agreement on Peacekeeping Activities of the Collective Security Treaty Organization dated October 6, 2007, signed on September 16, 2021 in Dushanbe",About the draft Law,Empty
153,"On ratification of the Protocol on Amendments to the Agreement on Peacekeeping Activities of the Collective Security Treaty Organization dated October 6, 2007, signed on September 16, 2021 in Dushanbe",About the draft Law,Empty
154,"Scholarship Program for the Development of Human Resources"" and the Grant Agreement on the project Scholarship Program for the Development of Human Resources"" between the Japan International Cooperation Agency and the Cabinet of Ministers of the Kyrgyz Republic, signed on August 2, 2023 in Bishkek""",About the draft Law,On the ratification of Exchange Notes between the Cabinet of Ministers of the Kyrgyz Republic and the Government of Japan on the project
155,"Scholarship Program for the Development of Human Resources"" and the Grant Agreement on the project Scholarship Program for the Development of Human Resources"" between the Japan International Cooperation Agency and the Cabinet of Ministers of the Kyrgyz Republic, signed on August 2, 2023 in Bishkek""",About the draft Law,On the ratification of Exchange Notes between the Cabinet of Ministers of the Kyrgyz Republic and the Government of Japan on the project
156,"Scholarship Program for the Development of Human Resources"" and the Grant Agreement on the project Scholarship Program for the Development of Human Resources"" between the Japan International Cooperation Agency and the Cabinet of Ministers of the Kyrgyz Republic, signed on August 2, 2023 in Bishkek""",About the draft Law,On the ratification of Exchange Notes between the Cabinet of Ministers of the Kyrgyz Republic and the Government of Japan on the project
157,"Improving resilience to natural disaster risks in Kyrgyzstan, signed on August 18, 2023 in Bishkek",On the ratification of the Agreement between the Kyrgyz Republic and the International Development Association on the second additional financing of the project,About the draft Law
158,On the right to access information,About the draft Law,Empty
159,About the State civil service and municipal service,On amendments to the Law of the Kyrgyz Republic,About the draft Law
160,On the restoration and protection of savings of citizens of the Kyrgyz Republic,On the invalidation of the Law of the Kyrgyz Republic,About the draft Law
161,About gambling activities in the Kyrgyz Republic,On the draft Law On Amendments to the Law of the Kyrgyz Republic,Empty
162,"On amendments to some legislative acts of the Kyrgyz Republic in the field of protection and protection from family, sexual and gender-based violence",About the draft Law,Empty
163,On amendments to the Civil Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
164,On strategic planning in the Kyrgyz Republic,About the draft Law,Empty
165,About the local state administration and local self-government bodies,On amendments to the Law of the Kyrgyz Republic,About the draft Law
166,About the Cabinet of Ministers of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
167,On amnesty in connection with the 30th anniversary of the adoption of the Constitution of the Kyrgyz Republic and the 75th anniversary of the Universal Declaration of Human Rights,About the draft Law,Empty
168,About the circulation of medical devices,About the draft Law,Empty
169,About the circulation of medicines,About the draft Law,Empty
170,"On the practice of preparing and holding elections, referendums, on measures to ensure electoral rights and improve the legal culture of citizens, on measures to implement electoral legislation and legislative proposals for its improvement",On the report of the Chairman of the Central Commission for Elections and Referendums of the Kyrgyz Republic for 2021-2022.,Empty
171,About the Prosecutor's Office of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
172,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
173,"On the formation of a temporary deputy commission to study the problems of children with autism, Down syndrome and cerebral palsy and respect for their rights provided for by legislation in this area",Empty,Empty
174,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on cooperation in the field of emergency prevention and Response, signed on January 27, 2023 in Bishkek",About the draft Law,Empty
175,"On ratification of the Protocol on Amendments and Additions to the Agreement between the Kyrgyz Republic and the Republic of Kazakhstan on Mutual Legal Assistance in Civil and Criminal Matters dated August 26, 1996, signed on May 26, 2022 in Bishkek",About the draft Law,Empty
176,"On ratification of the Protocol on Amendments and Additions to the Agreement between the Kyrgyz Republic and the Republic of Kazakhstan on Mutual Legal Assistance in Civil and Criminal Matters dated August 26, 1996, signed on May 26, 2022 in Bishkek",About the draft Law,Empty
177,About the licensing and licensing system in the Kyrgyz Republic),On amendments to the Law of the Kyrgyz Republic,About the draft Law
178,"On amendments to some legislative acts of the Kyrgyz Republic (the Criminal Code, the Code of Criminal Procedure)",About the draft Law,Empty
179,About tourism,On amendments to the Law of the Kyrgyz Republic,About the draft Law
180,On the status of bailiffs and on enforcement proceedings),"On amendments to some legislative acts of the Kyrgyz Republic (the Civil Code, the Law",About the draft Law
181,On the formation of a temporary deputy commission to study the illegal actions of officials of the relevant state bodies in relation to convicts who were paroled from serving their sentences,"On the extension of the term of work of the deputy commission formed by the resolution of the Jogorku Kenesh of the Kyrgyz Republic dated June 14, 2023 No. 1252-VII",On the draft resolution of the Jogorku Kenesh
182,On the protection of bank deposits,On amendments to the Law of the Kyrgyz Republic,About the draft Law
183,On the protection of the health of citizens in the Kyrgyz Republic,About the draft Law,Empty
184,About public health,About the draft Law,Empty
185,"Reconstruction of the Suusamyr–Talas–Taraz highway, phase IV, 104.6–197.6 km, signed on April 24, 2023 in Bishkek",On the ratification of the Loan Agreement between the Kyrgyz Republic and the Saudi Development Fund for the project,About the draft Law
186,"Reconstruction of the Suusamyr–Talas–Taraz highway, phase IV, 104.6–197.6 km, signed on May 12, 2023 in the city of Jeddah",On the ratification of the Loan Agreement between the Kyrgyz Republic and the OPEC Fund for International Development on the project,About the draft Law
187,"Reconstruction of the Suusamyr–Talas–Taraz highway, Phase IV, 104.6–197.6 km"" and the Agreement on Technical grant assistance between the Kyrgyz Republic and the Islamic Development Bank on the Reconstruction of the Suusamyr– Talas–Taraz highway, Phase IV, 104.6–197.6 km"", signed on May 12, 2023 in the city of Jeddah""",About the draft Law,On the ratification of the Loan Agreement between the Kyrgyz Republic and the Islamic Development Bank on the project
188,On countering the financing of terrorist activities and the legalization (laundering) of criminal proceeds,On amendments to the Law of the Kyrgyz Republic,About the draft Law
189,On amendments to some resolutions of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
190,On approval of the Regulations on official business trips of deputies and staff of the Office of the Jogorku Kenesh of the Kyrgyz Republic (,On the draft resolution of the Jogorku Kenesh,Empty
